name,lat,lon,説明,住所
001-1 学校給食センター（元横山）北側,35.6659988888889,139.338137777778,ポスター掲示場,元横山町１－２９
001-2 第一小学校東側コンクリート塀,35.6611877777778,139.336985277778,ポスター掲示場,元横山町２－１４－３
001-3 椎名内科向かい側植込,35.6625311111111,139.333441388889,ポスター掲示場,本町９－８先
001-4 元横西公園北側,35.6662894444444,139.332906111111,ポスター掲示場,元横山町３－２４－２４先
001-5 第一小学校南側コンクリート塀,35.6607113888889,139.33645,ポスター掲示場,元横山町２－１４－３
001-6 妙薬寺北側ブロック塀,35.66339,139.335225833333,ポスター掲示場,元横山町２－１８－１
001-7 第一小学校西側フェンス,35.6614238888889,139.335961111111,ポスター掲示場,元横山町２－１４－３
001-8 元横一丁目公園フェンス,35.6641916666667,139.341185833333,ポスター掲示場,元横山町１－１１－５先
002-1 第二小学校南側フェンス,35.6615508333333,139.322287777778,ポスター掲示場,八木町７－１
002-2 八木町公園東側植込,35.6616586111111,139.321228888889,ポスター掲示場,八木町８
002-3 藤和シティホームズ西八王子西側,35.6604672222222,139.317404166667,ポスター掲示場,追分町１０－６
002-4 善能寺北側塀,35.6629102777778,139.322550555556,ポスター掲示場,元本郷町１－１
002-5 エコス大横店南側フェンス,35.6611180555556,139.329178888889,ポスター掲示場,大横町１－８
002-6 第二小学校北側フェンス東側,35.6619080555556,139.322956666667,ポスター掲示場,八木町７－１
003-1 いちょう公園南大通り側,35.6549705555556,139.330952777778,ポスター掲示場,寺町２８
003-2 子安公園西側,35.6528244444444,139.3348925,ポスター掲示場,子安町４－３１
003-3 念仏院西側大谷石塀,35.6564338888889,139.328100277778,ポスター掲示場,上野町１－６
003-4 天神公園北側フェンス,35.6574055555556,139.329475277778,ポスター掲示場,天神町２３
003-5 西放射線中町公園（風車の広場）北側,35.6589461111111,139.335409166667,ポスター掲示場,中町９－１１
003-6 子安濱村こかげ公園南側,35.6535394444444,139.336513055556,ポスター掲示場,子安町４－１３
003-7 第三小学校北側フェンス,35.6557597222222,139.332015833333,ポスター掲示場,寺町２９－１５
003-8 子安公園南側,35.6521602777778,139.335058333333,ポスター掲示場,子安町４－３１
004-1 竹の花公園北側,35.6624855555556,139.341806388889,ポスター掲示場,新町５
004-2 クリエイトホール北側植込,35.6586811111111,139.340031666667,ポスター掲示場,東町５－６
004-3 第四小学校西側フェンス,35.6574944444444,139.345245277778,ポスター掲示場,明神町２－１５－１
004-4 第四小学校南側フェンス,35.6569305555556,139.345838888889,ポスター掲示場,明神町２－１５－１
004-5 北田南公園北側,35.6603141666667,139.347457222222,ポスター掲示場,明神町１－１１９－５
004-6 明神町なかよし公園北西フェンス,35.6568236111111,139.347141666667,ポスター掲示場,明神町２－９
004-7 第五中学校北側植込,35.6618202777778,139.343792222222,ポスター掲示場,明神町４－１９－１
004-8 都立南多摩中等教育学校南側植込,35.6596308333333,139.343188333333,ポスター掲示場,明神町４－２０－１
005-1 せきれい児童遊園フェンス前植込,35.6603752777778,139.306321388889,ポスター掲示場,長房町４６先
005-2 千人町桑の実児童公園西側先,35.6575988888889,139.309893055556,ポスター掲示場,千人町３－４
005-3 千人保育園東側フェンス,35.6589036111111,139.310206666667,ポスター掲示場,千人町３－５－１７
005-4 第五小学校東側入口脇フェンス,35.6596369444444,139.308967222222,ポスター掲示場,千人町３－７－７
005-5 第五小学校西側入口脇フェンス,35.6584091666667,139.307908888889,ポスター掲示場,千人町３－７－７
005-6 都立八王子桑志高等学校敷地西側市道フェンス,35.6569658333333,139.304279166667,ポスター掲示場,千人町４－８－１
005-7 西八王子駅北口自転車駐車場南側ブロック,35.656535,139.312123333333,ポスター掲示場,千人町３－１－２５
005-8 千人町どんぐり広場北側,35.65794,139.306358611111,ポスター掲示場,千人町４－７－２６先
006-1 清流寺東側空地,35.6523688888889,139.344102777778,ポスター掲示場,子安町１－２２－２５
006-2 子安東公園南側植込,35.6511627777778,139.340354722222,ポスター掲示場,子安町２－２－１１
006-3 いずみの森義務教育学校北側フェンス,35.6503266666667,139.341165,ポスター掲示場,子安町２－１８－１
006-4 八王子ハローワーク西側フェンス,35.6538413888889,139.340893333333,ポスター掲示場,子安町１－１２－８
006-5 由井中学校西側フェンス,35.6444983333333,139.339329444444,ポスター掲示場,片倉町５３３
006-6 いずみの森義務教育学校仮設グラウンド,35.6469266666667,139.339820555556,ポスター掲示場,子安町２－３０－１
006-7 六本杉公園北側フェンス,35.6492394444444,139.340728055556,ポスター掲示場,子安町２－２２
006-8 子安市民センター西側,35.650905,139.344431666667,ポスター掲示場,子安町２－６－１
006-9 六本杉公園南側フェンス,35.6486247222222,139.341456666667,ポスター掲示場,子安町２－２２
007-1 バス停「南大通り」南側空地,35.6554913888889,139.326069444444,ポスター掲示場,上野町３２－１
007-2 金剛院南側ブロック塀,35.65655,139.327170555556,ポスター掲示場,上野町３９－２
007-3 千人町分教会南側コンクリート塀,35.6565038888889,139.316330555556,ポスター掲示場,台町４－４０－１２
007-4 台町見晴公園南側,35.6545675,139.323546944444,ポスター掲示場,台町３－７
007-5 八王子拓真高等学校西側植込,35.6546047222222,139.316376388889,ポスター掲示場,台町３－２５－１
007-6 第七小学校北側フェンス,35.6572063888889,139.323310277778,ポスター掲示場,台町４－２－１
007-7 第七小学校東側フェンス,35.6565066666667,139.324294722222,ポスター掲示場,台町４－２－１
007-8 小児・障害メディカルセンター　東側フェンス,35.657545,139.318674166667,ポスター掲示場,台町４－３３－１３
008-1 （株）サンエス西側ブロック塀,35.6743222222222,139.3161525,ポスター掲示場,中野上町５－１０－５
008-2 中野保育園南側フェンス,35.6665827777778,139.324700833333,ポスター掲示場,中野上町１－２２－１１
008-3 第九小学校南側フェンス,35.6702797222222,139.3246675,ポスター掲示場,中野上町２－１４－１
008-4 第九小学校西側フェンス,35.6708922222222,139.323701666667,ポスター掲示場,中野上町２－１４－１
008-5 第二中学校西側フェンス,35.6701591666667,139.314396111111,ポスター掲示場,中野上町４－２８－１
008-6 日本機械工業（株）八王子工場北西側フェンス,35.6713125,139.317543055556,ポスター掲示場,中野上町２－３１
008-7 八王子市補修センター北側ブロック塀,35.6695463888889,139.320083888889,ポスター掲示場,中野上町４－１０－１５
009-1 東三まちの広場フェンス,35.6693780555556,139.334135277778,ポスター掲示場,暁町１－３０
009-2 第十小学校北側フェンス,35.6662044444444,139.344215833333,ポスター掲示場,大和田町７－５－１
009-3 第十小学校南東側フェンス,35.6650561111111,139.343917777778,ポスター掲示場,大和田町７－５－１
009-4 西花田原公園東側（入口沿い）,35.668735,139.346181666667,ポスター掲示場,富士見町２１
009-5 大和田七丁目アパート１号棟前駐車場フェンス,35.6675016666667,139.343951388889,ポスター掲示場,大和田町７－６－１
009-6 八王子郵便局北側,35.6670966666667,139.340786111111,ポスター掲示場,大和田町７－２１－１
009-7 富士見町緑地,35.6682222222222,139.350956111111,ポスター掲示場,富士見町４－８
